fTable0 21
KEY  c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19
r0 26387 -48167 -47973 -59277 -38262 -24941 -49984 44267 -14318 -46917 26521 -3346 -29992 -24768 60956 6610 36574 -55767 14602 17751
r1 7795 43653 18439 44400 -65162 63247 -43880 -35980 27601 -26737 -17865 13805 -36304 59248 -1409 -28127 40717 16194 19016 62793
r2 -40356 -44020 -33842 52557 -34903 40719 7104 -7938 -58701 51744 -6936 50730 34986 6542 23283 -7767 51420 5818 34675 21735
r3 -61967 -65004 24832 58099 50322 37715 -36835 -52205 40921 -30553 60878 -15079 63705 47776 -13770 -59507 57420 7933 19395 -26366
r4 1690 7651 -38665 55436 -7267 -38451 -42867 -57475 -3823 -16591 -14724 57973 -55074 21803 50023 34758 -65461 -41069 -14132 -48549
r5 -65104 -5950 30299 -23045 -44339 -16271 -9302 -35566 -38526 61424 -53661 65297 -60610 11369 15290 -47479 23008 869 5915 19683
r6 27071 -30120 46734 22158 29089 35149 49266 29114 -18102 -2879 -5301 -17326 10204 -42075 42900 -43355 27093 15815 -46506 42708
r7 47165 48007 -4928 -1677 -58432 -36404 53710 -2479 826 -47239 -12131 -51530 4887 4433 21313 -15906 -2134 48070 -38927 57752
r8 53134 15706 -25091 40375 6222 49465 -26974 -59072 -9845 -60883 -34802 -8303 -23618 -58440 35801 14122 -4999 30596 40336 -23289
r9 -41429 -6065 53328 55476 13081 65443 -16051 52679 -31722 18937 12953 64601 65264 -13295 -60676 -8397 -23194 -42262 31612 -58423
r10 15140 62184 40757 1478 -59879 -45165 42620 -65410 -9064 -12048 23661 -5439 19808 4484 25126 39048 11358 -60989 14137 -55248
r11 -50563 -21488 -13901 -54997 6679 25250 -47979 -5798 61844 -28179 -46577 34807 -35447 60052 54050 2591 -44520 -17285 25549 41381
r12 5043 -22108 60007 48381 15297 7307 50531 -54493 64880 12758 64641 -53638 -43109 62827 60716 236 23564 30826 33327 -36756
r13 2170 -12530 -5783 11265 -31992 53267 30746 9522 -34528 65231 30930 -62898 16791 41417 -39316 62640 -61264 -29409 33949 16354
r14 -29285 -16585 -9436 58540 -41076 -38670 -1795 29510 -11080 -855 41146 14698 47607 4662 53715 -45962 -26527 15099 28353 64999
r15 49912 10657 -43641 -49932 7508 -16416 52014 46077 -64679 -16139 -50442 56940 -1962 -36622 -27316 -32005 -58768 -39563 5183 -45400
r16 -62866 -61883 25959 61170 -29453 -60977 22819 -54204 -19222 39814 27175 53169 -34166 23559 47394 -53002 -41762 38337 -21623 31708
r17 55553 43330 60962 -17021 27225 17831 -65158 -2336 -47122 63058 -31614 -14519 -51712 -56336 43261 31000 -65489 21050 -51057 19609
r18 -20726 56809 -31827 8598 14358 28846 1245 -2226 -30391 1843 -58745 -29433 -14767 57276 -13654 -39638 45279 31321 -38442 63950
r19 -52211 -65322 42924 -53851 -65129 59665 5802 -24932 13524 34485 5565 12588 19129 18138 -36146 59381 -16977 -21383 56798 45902
r20 -32366 2960 43094 -7415 31913 7531 56098 -25257 -33910 -17909 -42473 -16863 -1608 -10892 -43941 -40539 -18055 -64285 38178 11992
r21 -1554 19011 56391 -32476 -56440 50352 -22400 30516 -34290 47015 6964 27415 29812 16449 -1192 -28033 20606 53239 5623 29316
r22 27378 33781 36999 -25486 -45515 7489 65332 39026 -47532 24439 47290 -3876 54820 21152 36714 38169 -45623 -2816 40338 50339
r23 -50061 26242 -51039 -14219 59904 -53478 12220 -29961 -32750 31664 32772 -23583 -40530 39525 46694 -20068 -60858 48408 48740 -4990
r24 -39269 -26590 10816 5420 -49720 -12330 -40004 16568 48537 -62803 -64623 -29558 26592 29817 9586 -61805 -34071 19038 -44418 -54921
r25 -17218 -25232 -27083 -30089 -34032 24855 50488 -34794 -63620 11641 17186 12412 49807 -24256 -45260 38524 34599 49214 -51914 -1266
r26 -19612 51088 -38926 -61724 -30757 1047 55423 -64425 62291 33905 -9450 31678 -12199 -64800 35814 43795 -28923 -35592 -53153 21506
r27 -5078 42418 -40040 23469 -63618 25728 -45892 -26275 736 -49312 -18889 34681 -48343 42815 -27734 6913 -35509 50294 24774 -20131
r28 13822 40662 -26048 20437 25875 44722 -29209 4058 56208 57576 28185 62293 36214 7889 -4753 -49872 19878 55416 -28478 -7638
r29 46125 34568 39432 -47163 28141 -24440 -23093 15465 -51580 47030 -18631 -1708 -51051 -18128 -22615 -54029 -59613 59030 -42955 -11801
r30 -12040 25441 -27911 -60610 -28219 -44344 -9089 28868 40059 14106 -31082 39834 15573 22941 -12846 -57486 -14216 53193 47894 43283
r31 -16871 34455 -32036 49318 -39198 -48452 31005 56368 -64082 -46492 45482 -55109 -61893 -37302 -51692 -62220 -7791 -20148 56847 -28382
r32 51095 15473 38620 40982 -53035 34214 28627 -25839 -14449 -4463 14198 544 -65407 50134 46037 -32326 -59711 49222 -30754 3057
r33 51788 23668 -6318 -4964 27918 30222 47229 -16217 -41351 -10343 -25429 -34723 -34629 50556 49970 -48600 -55133 -24631 -64155 28936
r34 -6188 18294 -50106 26393 -54285 5580 -51262 -25220 30693 -16625 20690 -59419 -36030 40702 63440 59092 35587 62965 58974 11360
r35 33684 34422 48203 -41443 46772 -131 56061 -58584 17587 9333 -55456 46872 8679 -7059 -6522 37682 32125 29325 1068 58422
r36 30381 -63649 -43831 29472 33020 -36190 23912 22246 -58436 -54469 -40684 11973 13409 -27152 -18371 6428 32962 2060 -19425 22496
r37 27008 51098 -49336 32189 65498 -54531 15776 -3172 -50197 24936 -53106 -35425 10909 9291 -38988 -31375 42675 14806 -64094 -39862
r38 -50373 31333 -43312 42699 -29501 -8382 -42726 61844 14783 60205 16109 9756 -17126 60354 10496 -18066 -39578 58815 -54647 348
r39 -25809 -8197 -51267 13123 -24693 9096 -49132 -5185 58161 64239 3457 8024 -52484 3338 30067 -26306 -41546 43554 -37329 -62470
r40 -54890 -12893 -28724 -43961 10007 -47271 6000 -47657 -32334 -52713 -23559 45332 -32899 -1048 8409 -9155 -33121 -11262 -51025 -14334
r41 -53738 11928 -46779 51185 -855 30712 -40841 -30914 -45699 11515 62672 53645 -23241 -4807 46631 35090 32 56829 -52135 -30590
r42 31439 21100 -30017 -62979 -32437 -20882 21806 29888 49690 -19403 -28773 45609 24856 -14239 9502 -49260 -28771 22785 -48632 -59505
r43 -43048 3606 -59122 -54395 -48841 -57264 -13429 -48481 -36921 -2465 -12399 4795 -52253 60528 -46903 3029 -44249 -15790 53803 -33186
r44 64346 -27714 61682 32771 27949 9729 48218 4580 -17821 -43997 -53983 2850 27865 -51603 -31175 -65242 4033 -38082 -5607 -45622
r45 -148 61911 -59402 -50056 -30874 18361 57769 -62084 -43921 12736 17743 3979 -18468 29586 11515 50085 -64039 49161 17898 38963
r46 29798 -11971 -47329 -41981 -12126 56739 -25854 3714 36555 -59711 -4985 -57157 -3417 47193 1237 21516 -5286 -29333 -18747 -46433
r47 13627 -53100 -52935 -40093 22942 -6355 18001 54866 -58180 44192 -37804 -53104 6079 -42675 -216 -48626 -32925 62575 51157 -55403
r48 -19674 63363 27183 18580 -31554 45523 59163 -18196 56766 -31615 45454 1866 53041 -16580 15078 63251 -64729 -62712 62341 -7218
r49 -12443 46319 -50060 16219 -31454 1942 58238 -23730 -26952 -56060 54997 -10651 8548 -31829 -21961 -25963 -1083 50914 -3420 22488
r50 25549 -7810 43198 -10670 -52505 51945 -10176 49437 51589 34019 -38047 -39175 4809 -30316 -11093 53742 -31843 15406 5460 2158
r51 13499 36774 -59801 -43945 -48447 12069 -9763 -39074 60487 33277 -13645 -20761 -43549 -63503 -27660 41854 35275 47861 32097 18321
r52 41455 53479 -35078 -46201 -57672 52632 -7882 60483 -14606 -53869 696 6040 55354 37834 17994 -53633 56853 43037 -56988 -59189
