mTable0 21
KEY  c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19
r0 18481 51285 -34550 39470 -61561 -50405 62037 -13702 63457 51869 57776 32001 -45297 36724 16148 3253 52214 -34594 -14734 55548
r1 -44157 31304 -18059 -42744 -64508 21589 -9897 57893 -21323 58194 -31318 -35867 -37386 64918 34399 -41423 -35338 -21655 56597 507
r2 -6125 -23922 39196 -33647 -60837 35954 -15924 14105 -35386 -46309 58304 9093 -1184 40509 -24712 -30630 -19603 64757 24271 45393
r3 12619 -46941 -49874 56346 -53762 -17260 39847 -2449 -38265 -35405 12916 28518 -62649 -19140 -26481 -65409 -33789 -43082 -12297 -26277
r4 53523 7957 15816 57933 64555 19411 40862 21276 -26058 -51835 -65250 -8481 -2954 -42823 2469 24130 -14159 -61185 3632 -53256
r5 -14437 24307 -41310 61924 34799 13675 -52847 8835 28742 34453 11245 -21068 -63672 -46393 53056 -52741 22891 -44094 -17627 54088
r6 13266 -23 -43033 25558 2330 -29642 50391 23582 23074 18599 1528 -63700 -13725 14665 35825 -49082 35160 61402 13508 30459
r7 55431 12374 7170 37342 -898 12198 -4878 50066 -27534 35640 -64468 -26228 13928 96 -27360 4191 19768 40621 -41096 34961
r8 -42885 -10639 -40568 -64452 48124 35006 24097 -36696 -7879 21531 -36788 -35791 -12651 38452 36130 48155 30005 -47474 54641 15117
r9 -16496 -39451 -18026 62425 5859 -62211 10472 -34615 -33461 -62948 31315 64606 -43139 12428 -47874 31890 -22074 -53697 51836 -41593
r10 -25908 27413 373 -43740 -5777 -12768 -28391 -31340 61283 -61700 -56463 26690 -36957 -43433 1645 -227 -46877 -49410 32235 -53956
r11 -34084 -47967 -7552 -34507 -35331 -32796 -48809 -1736 21084 -4542 18395 538 -14119 -32055 -48945 -3317 -26938 -3563 30945 41760
r12 -57325 -54802 -3498 5065 -1194 -30323 18487 41754 -56680 -37519 -16094 63121 21675 15639 28185 -31660 17611 -38661 60496 52774
r13 41642 -58446 32099 -10706 -31288 -34002 -29077 -35039 -2275 55870 -20832 -58451 9810 -34064 1739 -4675 12575 -30071 -10831 -39545
